workerid,condition,firstPerson,order.1,order.2,order.3,order.4,order.5,order.6,order.7,order.8,order.9,order.10,spinnerID.1,spinnerID.2,spinnerID.3,spinnerID.4,spinnerID.5,spinnerID.6,spinnerID.7,spinnerID.8,spinnerID.9,spinnerID.10,payoff1.1,payoff1.2,payoff1.3,payoff1.4,payoff1.5,payoff1.6,payoff1.7,payoff1.8,payoff1.9,payoff1.10,payoff2.1,payoff2.2,payoff2.3,payoff2.4,payoff2.5,payoff2.6,payoff2.7,payoff2.8,payoff2.9,payoff2.10,payoff3.1,payoff3.2,payoff3.3,payoff3.4,payoff3.5,payoff3.6,payoff3.7,payoff3.8,payoff3.9,payoff3.10,prob1.1,prob1.2,prob1.3,prob1.4,prob1.5,prob1.6,prob1.7,prob1.8,prob1.9,prob1.10,prob2.1,prob2.2,prob2.3,prob2.4,prob2.5,prob2.6,prob2.7,prob2.8,prob2.9,prob2.10,prob3.1,prob3.2,prob3.3,prob3.4,prob3.5,prob3.6,prob3.7,prob3.8,prob3.9,prob3.10,win.1,win.2,win.3,win.4,win.5,win.6,win.7,win.8,win.9,win.10,winProb.1,winProb.2,winProb.3,winProb.4,winProb.5,winProb.6,winProb.7,winProb.8,winProb.9,winProb.10,angleProp.1,angleProp.2,angleProp.3,angleProp.4,angleProp.5,angleProp.6,angleProp.7,angleProp.8,angleProp.9,angleProp.10,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,reactionTime.6,reactionTime.7,reactionTime.8,reactionTime.9,reactionTime.10,happy.1,happy.2,happy.3,happy.4,happy.5,happy.6,happy.7,happy.8,happy.9,happy.10,sad.1,sad.2,sad.3,sad.4,sad.5,sad.6,sad.7,sad.8,sad.9,sad.10,anger.1,anger.2,anger.3,anger.4,anger.5,anger.6,anger.7,anger.8,anger.9,anger.10,surprise.1,surprise.2,surprise.3,surprise.4,surprise.5,surprise.6,surprise.7,surprise.8,surprise.9,surprise.10,disgust.1,disgust.2,disgust.3,disgust.4,disgust.5,disgust.6,disgust.7,disgust.8,disgust.9,disgust.10,fear.1,fear.2,fear.3,fear.4,fear.5,fear.6,fear.7,fear.8,fear.9,fear.10,content.1,content.2,content.3,content.4,content.5,content.6,content.7,content.8,content.9,content.10,disapp.1,disapp.2,disapp.3,disapp.4,disapp.5,disapp.6,disapp.7,disapp.8,disapp.9,disapp.10,socCompArray.1,socCompArray.2,socCompArray.3,socCompArray.4,socCompArray.5,socCompArray.6,socCompArray.7,socCompArray.8,socCompArray.9,socCompArray.10,RSEArray.1,RSEArray.2,RSEArray.3,RSEArray.4,RSEArray.5,RSEArray.6,RSEArray.7,RSEArray.8,RSEArray.9,RSEArray.10,LOTRArray.1,LOTRArray.2,LOTRArray.3,LOTRArray.4,LOTRArray.5,LOTRArray.6,LOTRArray.7,LOTRArray.8,LOTRArray.9,LOTRArray.10,PHQArray.1,PHQArray.2,socComp,RSE,LOTR,SINS,PHQ,gender,age,nativeLanguage,browser,browserOS
1,1,1,1,2,3,4,5,6,7,8,9,10,12,4,40,14,45,16,2,23,6,20,20,10,0,30,10,25,0,20,10,25,45,35,40,50,50,60,30,60,35,45,70,75,95,95,75,100,60,90,75,80,0.4,0.5,0.27,0.33,0.6,0.45,0.42,0.34,0.5,0.26,0.34,0.31,0.38,0.29,0.24,0.37,0.31,0.22,0.32,0.32,0.26,0.19,0.35,0.38,0.16,0.18,0.27,0.44,0.18,0.42,70,10,0,50,75,25,30,60,75,45,0.26,0.5,0.27,0.29,0.16,0.45,0.31,0.22,0.18,0.32,0.134,0.485,0.172,0.359,0.149,0.411,0.334,0.548,0.469,0.672,16759,9425,6849,8732,9705,8582,8002,8560,8056,6260,7,4,1,6,6,6,1,1,6,1,7,4,1,1,1,1,1,1,1,1,7,4,1,1,1,1,1,1,1,1,7,4,1,1,6,5,1,1,5,1,7,4,1,1,1,1,1,1,1,1,7,4,1,1,1,1,1,1,1,1,7,4,1,1,1,1,1,1,1,1,7,4,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,3,3,0,3,0,3,3,0,0,0,3,3,3,3,3,3,3,3,3,3,0,0,50,30,24,3,0,M,23,English,Chrome,Windows
2,1,1,1,2,3,4,5,6,7,8,9,10,46,3,39,44,22,14,9,20,18,13,55,0,20,10,20,30,15,25,25,30,70,30,50,50,60,50,70,45,60,50,85,60,90,75,90,95,80,80,100,95,0.26,0.41,0.32,0.58,0.32,0.33,0.45,0.26,0.43,0.31,0.53,0.37,0.18,0.24,0.16,0.29,0.29,0.32,0.35,0.25,0.21,0.22,0.5,0.18,0.52,0.38,0.26,0.42,0.22,0.44,55,60,90,50,20,50,80,45,100,30,0.26,0.22,0.5,0.24,0.32,0.29,0.26,0.32,0.22,0.31,0.843,0.47,0.188,0.751,0.92,0.559,0.763,0.24,0.571,0.952,18745,14232,15228,14390,15845,15206,14077,9763,13047,13273,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,9,8,8,8,9,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,9,9,8,8,8,8,8,9,8,1,1,1,1,3,2,1,3,1,3,6,1,1,8,8,3,3,8,3,8,2,2,0,2,0,2,2,1,0,0,6,6,4,5,5,6,4,5,2,4,0,0,77,24,29,1,0,M,25,English,Chrome,Windows
3,1,1,1,2,3,4,5,6,7,8,9,10,48,26,7,15,28,4,39,31,44,45,55,15,15,30,40,10,20,45,10,10,70,50,70,50,65,35,50,60,50,50,85,75,80,95,100,75,90,90,75,75,0.25,0.24,0.47,0.3,0.36,0.5,0.32,0.54,0.58,0.6,0.52,0.4,0.28,0.3,0.4,0.31,0.18,0.3,0.24,0.24,0.23,0.36,0.25,0.4,0.24,0.19,0.5,0.16,0.18,0.16,85,50,15,95,40,10,90,45,50,75,0.23,0.4,0.47,0.4,0.36,0.5,0.5,0.54,0.24,0.16,0.393,0.846,0.641,0.2,0.439,0.989,0.047,0.129,0.003,0.209,14170,14973,14249,11470,12097,13666,12760,10694,15496,12157,7,6,6,8,6,7,8,7,7,8,1,2,2,1,2,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,7,6,7,8,7,6,8,6,8,8,1,1,2,1,2,2,2,1,1,1,1,1,2,1,2,2,2,1,1,1,7,6,4,8,4,6,6,6,7,7,1,1,5,1,5,6,1,3,2,1,5,2,7,7,3,2,2,8,2,7,3,3,2,2,2,3,3,1,2,0,5,5,3,6,6,6,3,6,3,6,0,1,65,22,32,2,1,F,30,English,Chrome,Mac
4,1,0,1,2,3,4,5,6,7,8,9,10,18,39,15,20,8,2,30,17,3,13,25,20,30,25,15,0,40,25,0,30,60,50,50,45,70,30,65,60,30,50,100,90,95,80,80,60,100,100,60,95,0.43,0.32,0.3,0.26,0.49,0.42,0.37,0.42,0.41,0.31,0.35,0.18,0.3,0.32,0.27,0.31,0.32,0.38,0.37,0.25,0.22,0.5,0.4,0.42,0.24,0.27,0.31,0.2,0.22,0.44,100,90,95,45,70,30,100,60,60,30,0.22,0.5,0.4,0.32,0.27,0.31,0.31,0.38,0.22,0.31,0.571,0.377,0.482,0.609,0.088,0.687,0.337,0.117,0.835,0.741,18725,16393,12387,9825,13918,18230,10438,12354,12448,20972,9,9,9,7,7,5,9,6,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,5,6,5,7,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,7,8,6,9,7,8,4,1,1,1,1,1,1,1,1,1,3,8,2,5,9,1,1,3,7,6,4,3,3,0,3,0,1,1,2,1,0,2,3,4,4,6,6,5,3,5,2,1,1,62,23,18,1,2,M,39,English,Chrome,Windows
5,1,0,1,2,3,4,5,6,7,8,9,10,44,6,41,27,40,47,31,26,45,3,10,10,0,15,0,55,45,15,10,0,50,35,40,50,40,70,60,50,50,30,75,75,95,75,95,85,90,75,75,60,0.58,0.5,0.27,0.25,0.27,0.28,0.54,0.24,0.6,0.41,0.24,0.32,0.4,0.38,0.38,0.51,0.3,0.4,0.24,0.37,0.18,0.18,0.33,0.37,0.35,0.21,0.16,0.36,0.16,0.22,50,75,40,75,0,70,45,50,75,60,0.24,0.18,0.4,0.37,0.27,0.51,0.54,0.4,0.16,0.22,0.205,0.274,0.669,0.465,0.179,0.511,0.891,0.57,0.905,0.612,16595,14398,12594,10733,14535,13434,14224,14649,8451,10480,7,9,6,9,1,7,6,6,9,9,5,1,4,1,6,5,5,4,1,1,4,1,3,1,5,4,3,3,1,1,4,9,4,6,5,3,1,2,9,9,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,5,9,1,7,5,6,9,9,4,1,4,1,9,4,6,3,1,1,7,3,3,7,2,6,2,7,3,8,2,2,0,3,1,1,1,2,1,1,2,3,6,2,3,3,5,4,5,3,3,3,64,19,15,2,6,M,25,English,Chrome,Windows
6,1,0,1,2,3,4,5,6,7,8,9,10,8,18,12,20,11,44,50,10,25,17,15,25,20,25,20,10,50,20,15,25,70,60,45,45,45,50,75,45,50,60,80,100,70,80,70,75,90,70,75,100,0.49,0.43,0.4,0.26,0.41,0.58,0.32,0.43,0.21,0.42,0.27,0.35,0.34,0.32,0.35,0.24,0.5,0.39,0.36,0.38,0.24,0.22,0.26,0.42,0.24,0.18,0.18,0.18,0.43,0.2,70,100,70,45,45,50,75,20,15,60,0.27,0.22,0.26,0.32,0.35,0.24,0.5,0.43,0.21,0.38,0.524,0.061,0.808,0.472,0.045,0.086,0.315,0.503,0.054,0.869,34904,10455,10377,17917,25839,17515,14112,15081,15249,17109,8,9,8,6,6,7,7,5,3,6,1,1,1,3,3,2,2,4,6,2,1,1,1,2,2,2,2,2,3,2,7,8,7,6,5,7,3,2,7,3,2,1,1,2,3,2,2,2,4,2,2,1,1,2,1,2,2,2,2,2,7,9,8,5,5,8,7,4,3,7,2,1,1,4,3,2,2,5,7,3,6,2,2,7,2,1,3,4,5,7,0,3,3,0,3,0,0,3,3,3,2,5,3,2,5,2,5,5,5,3,1,1,63,3,18,1,2,M,24,English,Chrome,Windows
7,1,0,1,2,3,4,5,6,7,8,9,10,15,29,20,14,37,4,43,34,32,7,30,40,25,30,20,10,10,30,45,15,50,65,45,50,50,35,50,50,60,70,95,100,80,95,90,75,75,90,90,80,0.3,0.38,0.26,0.33,0.28,0.5,0.55,0.43,0.52,0.47,0.3,0.34,0.32,0.29,0.19,0.31,0.28,0.23,0.29,0.28,0.4,0.28,0.42,0.38,0.53,0.19,0.17,0.34,0.19,0.25,95,65,45,50,20,10,10,30,60,15,0.4,0.34,0.32,0.29,0.28,0.5,0.55,0.43,0.29,0.47,0.095,0.946,0.794,0.147,0.947,0.928,0.929,0.076,0.134,0.592,27699,15694,12762,16047,12772,18215,11880,15568,11933,9445,9,9,9,8,7,7,7,7,8,7,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,9,7,9,9,9,9,8,9,9,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,7,9,8,7,7,7,7,8,7,1,3,1,1,1,2,3,1,1,1,9,1,1,8,9,1,1,9,1,9,3,3,0,3,0,3,3,0,0,0,1,6,1,7,6,6,1,6,1,7,0,0,89,30,36,1,0,M,32,English,Chrome,Windows
8,1,1,1,2,3,4,5,6,7,8,9,10,12,44,17,18,37,27,16,49,38,22,20,10,25,25,20,15,25,50,20,20,45,50,60,60,50,50,60,75,50,60,70,75,100,100,90,75,100,90,90,90,0.4,0.58,0.42,0.43,0.28,0.25,0.45,0.3,0.3,0.32,0.34,0.24,0.38,0.35,0.19,0.38,0.37,0.52,0.18,0.16,0.26,0.18,0.2,0.22,0.53,0.37,0.18,0.18,0.52,0.52,70,50,60,100,20,75,25,50,50,20,0.26,0.24,0.38,0.22,0.28,0.37,0.45,0.3,0.18,0.32,0.818,0.811,0.491,0.641,0.528,0.963,0.944,0.08,0.104,0.714,18769,16194,18153,12416,20773,14026,15557,21684,14282,13927,9,8,7,9,6,9,6,5,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,8,8,7,9,1,8,1,5,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,9,5,8,4,2,2,1,1,1,1,1,4,1,3,7,7,8,8,2,3,6,3,5,6,7,8,6,3,3,1,3,2,1,1,3,2,2,1,1,5,3,5,7,5,3,5,4,1,0,56,16,17,3,1,M,29,English,Chrome,Mac
9,1,1,1,2,3,4,5,6,7,8,9,10,35,39,26,49,12,17,25,22,14,7,30,20,15,50,20,25,15,20,30,15,50,50,50,75,45,60,50,60,50,70,90,90,75,90,70,100,75,90,95,80,0.41,0.32,0.24,0.3,0.4,0.42,0.21,0.32,0.33,0.47,0.24,0.18,0.4,0.52,0.34,0.38,0.36,0.16,0.29,0.28,0.35,0.5,0.36,0.18,0.26,0.2,0.43,0.52,0.38,0.25,50,90,50,50,70,60,15,20,50,15,0.24,0.5,0.4,0.3,0.26,0.38,0.21,0.32,0.29,0.47,0.271,0.918,0.299,0.374,0.408,0.243,0.55,0.69,0.811,0.682,16350,8185,6744,13252,63054,9305,12459,50224,36392,12059,6,2,3,8,6,3,3,2,3,2,3,5,7,3,2,8,8,5,3,5,7,5,4,6,7,8,5,5,7,5,6,5,5,5,5,4,5,3,6,3,6,7,7,5,8,6,8,7,6,8,3,2,4,8,2,2,3,5,5,6,7,6,5,3,5,7,8,5,8,7,6,5,5,6,5,6,7,9,7,5,4,6,3,3,7,5,6,2,8,5,1,2,1,3,3,1,2,1,1,1,4,3,5,4,2,4,5,3,5,3,2,1,43,17,20,5,3,M,26,english,Firefox,Windows
10,1,1,1,2,3,4,5,6,7,8,9,10,31,48,40,41,32,8,14,11,18,13,45,55,0,0,45,15,30,20,25,30,60,70,40,40,60,70,50,45,60,50,90,85,95,95,90,80,95,70,100,95,0.54,0.25,0.27,0.27,0.52,0.49,0.33,0.41,0.43,0.31,0.3,0.52,0.38,0.4,0.29,0.27,0.29,0.35,0.35,0.25,0.16,0.23,0.35,0.33,0.19,0.24,0.38,0.24,0.22,0.44,45,85,0,40,60,70,50,45,100,30,0.54,0.23,0.27,0.4,0.29,0.27,0.29,0.35,0.22,0.31,0.999,0.667,0.757,0.046,0.283,0.689,0.432,0.327,0.736,0.773,33958,21295,19311,17575,13272,14251,13588,14859,14139,16727,7,9,2,7,7,7,7,7,9,6,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,9,2,8,7,6,8,1,9,6,2,1,7,3,2,2,2,2,1,4,8,1,3,3,2,2,2,2,7,9,2,2,2,0,3,0,1,3,2,2,2,1,6,3,4,2,5,1,2,2,1,1,59,8,18,1,2,F,27,English,Chrome,Windows
