"workerid","condition","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","happy","sad","anger","surprise","disgust","fear","content","disapp","prospective","retrospective","firstPerson","thirdPerson"
8,3,33,45,60,90,0.5,0.3,0.2,90,0.2,0.916,9,1,1,6,1,1,9,1,0,1,0,1
30,3,3,0,30,60,0.41,0.37,0.22,60,0.22,0.094,9,1,1,9,1,1,2,1,0,1,0,1
93,3,45,10,50,75,0.6,0.24,0.16,75,0.16,0.592,9,1,1,8,1,1,5,1,0,1,0,1
63,3,49,50,75,90,0.3,0.52,0.18,50,0.3,0.524,6,3,2,5,2,3,5,4,0,1,0,1
36,3,10,20,45,70,0.43,0.39,0.18,20,0.43,0.33,7,2,1,1,1,1,6,3,0,1,0,1
19,3,23,20,60,90,0.34,0.22,0.44,60,0.22,0.307,8,1,1,6,1,2,8,2,0,1,0,1
69,3,14,30,50,95,0.33,0.29,0.38,50,0.29,0.873,7,3,3,6,3,3,6,2,0,1,0,1
28,3,28,40,65,100,0.36,0.4,0.24,40,0.36,0.558,9,1,1,9,1,1,3,7,0,1,0,1
81,3,32,45,60,90,0.52,0.29,0.19,60,0.29,0.149,7,2,2,6,1,1,5,1,0,1,0,1
15,3,23,20,60,90,0.34,0.22,0.44,60,0.22,0.383,6,1,1,6,1,1,5,2,0,1,0,1
88,3,3,0,30,60,0.41,0.37,0.22,60,0.22,0.231,1,6,6,6,7,3,1,9,0,1,0,1
84,3,21,25,45,80,0.3,0.3,0.4,80,0.4,0.329,7,1,1,7,1,1,8,1,0,1,0,1
60,3,18,25,60,100,0.43,0.35,0.22,100,0.22,0.361,9,1,1,8,1,1,8,1,0,1,0,1
11,3,20,25,45,80,0.26,0.32,0.42,45,0.32,0.185,5,1,1,1,1,1,1,3,0,1,0,1
70,3,9,15,70,80,0.45,0.29,0.26,80,0.26,0.264,9,1,1,5,1,1,1,1,0,1,0,1
25,3,22,20,60,90,0.32,0.16,0.52,20,0.32,0.979,5,2,1,1,1,1,1,5,0,1,0,1
80,3,9,15,70,80,0.45,0.29,0.26,80,0.26,0.882,9,1,1,7,1,1,1,1,0,1,0,1
74,3,33,45,60,90,0.5,0.3,0.2,90,0.2,0.347,9,1,1,8,1,1,8,1,0,1,0,1
55,3,18,25,60,100,0.43,0.35,0.22,100,0.22,0.679,9,1,1,7,1,1,8,1,0,1,0,1
76,3,49,50,75,90,0.3,0.52,0.18,50,0.3,0.097,5,1,1,5,1,1,5,1,0,1,0,1
53,3,11,20,45,70,0.41,0.35,0.24,45,0.35,0.815,7,1,1,4,1,1,9,1,0,1,0,1
67,3,15,30,50,95,0.3,0.3,0.4,95,0.4,0.892,8,1,1,9,1,1,8,1,0,1,0,1
6,3,20,25,45,80,0.26,0.32,0.42,45,0.32,0.262,7,1,1,1,1,1,5,1,0,1,0,1
49,3,13,30,50,95,0.31,0.25,0.44,30,0.31,0.89,6,5,3,7,6,3,3,8,0,1,0,1
58,3,30,40,65,100,0.37,0.32,0.31,100,0.31,0.237,9,1,1,7,2,1,4,1,0,1,0,1
20,3,32,45,60,90,0.52,0.29,0.19,60,0.29,0.928,8,3,2,8,2,2,7,3,0,1,0,1
52,3,34,30,50,90,0.43,0.23,0.34,30,0.43,0.374,7,1,2,4,2,1,5,6,0,1,0,1
56,3,5,10,35,75,0.515,0.3,0.185,35,0.3,0.286,8,8,6,7,4,3,4,5,0,1,0,1
87,3,19,25,45,80,0.31,0.32,0.37,25,0.31,0.427,5,6,7,7,5,1,4,7,0,1,0,1
86,3,40,0,40,95,0.27,0.38,0.35,0,0.27,0.468,1,1,3,2,2,1,2,8,0,1,0,1
46,3,16,25,60,100,0.45,0.37,0.18,25,0.45,0.771,4,4,2,6,6,1,5,7,0,1,0,1
9,3,16,25,60,100,0.45,0.37,0.18,25,0.45,0.99,6,2,2,5,6,2,7,7,0,1,0,1
5,3,5,10,35,75,0.515,0.3,0.185,35,0.3,0.666,6,4,2,5,3,3,6,3,0,1,0,1
83,3,32,45,60,90,0.52,0.29,0.19,60,0.29,0.87,7,1,2,6,1,1,7,3,0,1,0,1
29,3,5,10,35,75,0.515,0.3,0.185,35,0.3,0.308,7,1,1,6,1,1,1,1,0,1,0,1
21,3,36,30,50,90,0.39,0.25,0.36,90,0.36,0.486,9,1,1,9,1,1,9,1,0,1,0,1
39,3,44,10,50,75,0.58,0.24,0.18,50,0.24,0.428,8,2,1,9,1,1,9,2,0,1,0,1
12,3,49,50,75,90,0.3,0.52,0.18,50,0.3,0.655,7,3,3,5,3,1,7,6,0,1,0,1
61,3,39,20,50,90,0.32,0.18,0.5,90,0.5,0.369,8,6,6,7,2,2,1,1,0,1,0,1
102,3,33,45,60,90,0.5,0.3,0.2,90,0.2,0.692,9,1,1,9,1,1,9,1,0,1,0,1
48,3,19,25,45,80,0.31,0.32,0.37,25,0.31,0.998,9,1,1,6,1,1,5,1,0,1,0,1
1,3,27,15,50,75,0.25,0.38,0.37,75,0.37,0.973,9,1,1,8,1,1,8,1,0,1,0,1
40,3,9,15,70,80,0.45,0.29,0.26,80,0.26,0.591,8,1,1,6,1,1,7,1,0,1,0,1
24,3,15,30,50,95,0.3,0.3,0.4,95,0.4,0.9,9,1,1,6,1,1,7,1,0,1,0,1
41,3,46,55,70,85,0.26,0.53,0.21,55,0.26,0.326,6,1,1,6,1,1,6,4,0,1,0,1
33,3,36,30,50,90,0.39,0.25,0.36,90,0.36,0.223,8,1,1,8,1,1,5,1,0,1,0,1
75,3,26,15,50,75,0.24,0.4,0.36,50,0.4,0.127,7,2,1,5,2,1,5,4,0,1,0,1
27,3,22,20,60,90,0.32,0.16,0.52,20,0.32,0.506,3,5,3,1,4,1,3,6,0,1,0,1
38,3,38,20,50,90,0.3,0.18,0.52,50,0.18,0.759,6,2,1,2,1,1,5,3,0,1,0,1
26,3,44,10,50,75,0.58,0.24,0.18,50,0.24,0.849,9,1,1,6,1,1,9,1,0,1,0,1
89,3,3,0,30,60,0.41,0.37,0.22,60,0.22,0.658,1,9,8,3,2,1,1,9,0,1,0,1
68,3,7,15,70,80,0.47,0.28,0.25,15,0.47,0.067,2,4,7,4,2,1,3,8,0,1,0,1
66,3,28,40,65,100,0.36,0.4,0.24,40,0.36,0.845,3,6,7,2,2,5,4,7,0,1,0,1
45,3,3,0,30,60,0.41,0.37,0.22,60,0.22,0.033,9,1,1,7,1,1,9,1,0,1,0,1
100,3,7,15,70,80,0.47,0.28,0.25,15,0.47,0.919,7,2,2,2,1,1,8,3,0,1,0,1
59,3,27,15,50,75,0.25,0.38,0.37,75,0.37,0.126,9,1,1,5,1,1,9,1,0,1,0,1
64,3,6,10,35,75,0.5,0.32,0.18,75,0.18,0.614,8,1,1,8,1,1,9,1,0,1,0,1
22,3,2,0,30,60,0.42,0.31,0.27,30,0.31,0.995,7,4,5,8,4,3,4,7,0,1,0,1
96,3,9,15,70,80,0.45,0.29,0.26,80,0.26,0.163,7,2,2,6,1,1,7,2,0,1,0,1
72,3,33,45,60,90,0.5,0.3,0.2,90,0.2,0.296,9,1,1,8,1,1,9,1,0,1,0,1
14,3,20,25,45,80,0.26,0.32,0.42,45,0.32,0.307,6,3,1,4,3,1,6,5,0,1,0,1
10,3,6,10,35,75,0.5,0.32,0.18,75,0.18,0.3,9,1,1,7,1,1,6,1,0,1,0,1
32,3,37,20,50,90,0.28,0.19,0.53,20,0.28,0.524,4,6,7,6,2,1,3,8,0,1,0,1
50,3,37,20,50,90,0.28,0.19,0.53,20,0.28,0.258,5,4,3,6,4,3,2,8,0,1,0,1
95,3,5,10,35,75,0.515,0.3,0.185,35,0.3,0.804,6,6,5,5,3,4,4,3,0,1,0,1
98,3,15,30,50,95,0.3,0.3,0.4,95,0.4,0.823,8,1,1,4,1,1,7,1,0,1,0,1
34,3,17,25,60,100,0.42,0.38,0.2,60,0.38,0.324,9,1,1,8,1,1,1,1,0,1,0,1
37,3,21,25,45,80,0.3,0.3,0.4,80,0.4,0.999,9,1,1,7,1,1,1,1,0,1,0,1
47,3,9,15,70,80,0.45,0.29,0.26,80,0.26,0.463,9,1,1,8,1,1,1,1,0,1,0,1
91,3,12,20,45,70,0.4,0.34,0.26,70,0.26,0.095,7,1,1,7,1,1,4,1,0,1,0,1
94,3,35,30,50,90,0.41,0.24,0.35,50,0.24,0.434,8,1,1,5,1,1,8,2,0,1,0,1
42,3,13,30,50,95,0.31,0.25,0.44,30,0.31,0.482,7,1,1,5,1,1,7,1,0,1,0,1
17,3,12,20,45,70,0.4,0.34,0.26,70,0.26,0.505,9,9,1,9,1,1,9,1,0,1,0,1
85,3,44,10,50,75,0.58,0.24,0.18,50,0.24,0.609,7,1,1,8,1,1,8,1,0,1,0,1
77,3,39,20,50,90,0.32,0.18,0.5,90,0.5,0.97,8,1,1,6,1,1,8,1,0,1,0,1
18,3,34,30,50,90,0.43,0.23,0.34,30,0.43,0.593,5,3,1,1,1,1,3,5,0,1,0,1
7,3,15,30,50,95,0.3,0.3,0.4,95,0.4,0.62,9,1,1,7,1,1,5,1,0,1,0,1
16,3,7,15,70,80,0.47,0.28,0.25,15,0.47,0.034,5,4,3,3,4,1,4,7,0,1,0,1
43,3,20,25,45,80,0.26,0.32,0.42,45,0.32,0.309,7,3,1,7,1,1,9,3,0,1,0,1
73,3,14,30,50,95,0.33,0.29,0.38,50,0.29,0.143,7,1,1,5,1,1,7,3,0,1,0,1
51,3,30,40,65,100,0.37,0.32,0.31,100,0.31,0.157,9,1,1,6,2,1,8,1,0,1,0,1
3,3,12,20,45,70,0.4,0.34,0.26,70,0.26,0.578,8,1,1,7,1,1,4,1,0,1,0,1
44,3,41,0,40,95,0.27,0.4,0.33,40,0.4,0.498,8,3,1,7,3,3,5,5,0,1,0,1
62,3,32,45,60,90,0.52,0.29,0.19,60,0.29,0.268,7,1,1,5,1,1,7,1,0,1,0,1
82,3,26,15,50,75,0.24,0.4,0.36,50,0.4,0.009,7,4,2,2,2,2,8,6,0,1,0,1
78,3,48,55,70,85,0.25,0.52,0.23,85,0.23,0.449,8,2,2,8,1,1,7,2,0,1,0,1
71,3,35,30,50,90,0.41,0.24,0.35,50,0.24,0.714,9,1,1,9,1,1,9,1,0,1,0,1
90,3,21,25,45,80,0.3,0.3,0.4,80,0.4,0.923,9,1,1,8,1,1,5,1,0,1,0,1
79,3,13,30,50,95,0.31,0.25,0.44,30,0.31,0.978,5,3,3,3,3,3,3,6,0,1,0,1
57,3,30,40,65,100,0.37,0.32,0.31,100,0.31,0.396,9,1,1,9,1,1,9,1,0,1,0,1
35,3,15,30,50,95,0.3,0.3,0.4,95,0.4,0.832,9,1,1,5,1,1,6,1,0,1,0,1
13,3,18,25,60,100,0.43,0.35,0.22,100,0.22,0.029,9,1,1,9,1,1,9,1,0,1,0,1
97,3,42,0,40,95,0.26,0.42,0.32,95,0.32,0.17,9,1,1,7,1,1,5,1,0,1,0,1
99,3,23,20,60,90,0.34,0.22,0.44,60,0.22,0.423,8,2,1,6,1,1,6,1,0,1,0,1
92,3,37,20,50,90,0.28,0.19,0.53,20,0.28,0.733,2,3,5,8,5,2,2,9,0,1,0,1
4,3,50,50,75,90,0.32,0.5,0.18,75,0.5,0.674,7,1,1,1,1,1,7,1,0,1,0,1
23,3,23,20,60,90,0.34,0.22,0.44,60,0.22,0.017,8,2,1,6,1,1,1,6,0,1,0,1
65,3,15,30,50,95,0.3,0.3,0.4,95,0.4,0.404,9,1,9,9,1,1,1,1,0,1,0,1
54,3,31,45,60,90,0.54,0.3,0.16,45,0.54,0.615,2,2,1,1,1,1,1,2,0,1,0,1
31,3,42,0,40,95,0.26,0.42,0.32,95,0.32,0.573,9,1,1,8,1,1,7,1,0,1,0,1
8,3,49,50,75,90,0.3,0.52,0.18,50,0.3,0.944,1,6,5,7,1,1,1,8,0,1,0,1
30,3,27,15,50,75,0.25,0.38,0.37,75,0.37,0.377,9,1,1,9,1,1,1,1,0,1,0,1
93,3,10,20,45,70,0.43,0.39,0.18,20,0.43,0.482,6,1,1,5,3,1,3,6,0,1,0,1
63,3,33,45,60,90,0.5,0.3,0.2,90,0.2,0.459,9,1,1,7,1,1,8,1,0,1,0,1
36,3,25,15,50,75,0.21,0.36,0.43,15,0.21,0.409,6,2,1,4,1,1,4,3,0,1,0,1
19,3,34,30,50,90,0.43,0.23,0.34,30,0.43,0.514,3,1,1,4,1,1,1,7,0,1,0,1
69,3,48,55,70,85,0.25,0.52,0.23,85,0.23,0.695,2,6,5,5,4,2,2,6,0,1,0,1
28,3,23,20,60,90,0.34,0.22,0.44,60,0.22,0.379,9,1,1,9,1,1,5,5,0,1,0,1
81,3,40,0,40,95,0.27,0.38,0.35,0,0.27,0.258,1,6,3,3,2,1,1,7,0,1,0,1
15,3,29,40,65,100,0.38,0.34,0.28,65,0.34,0.919,6,6,1,3,1,1,5,2,0,1,0,1
88,3,39,20,50,90,0.32,0.18,0.5,90,0.5,0.341,9,1,1,9,1,1,9,1,0,1,0,1
84,3,34,30,50,90,0.43,0.23,0.34,30,0.43,0.258,4,6,1,5,1,1,5,5,0,1,0,1
60,3,9,15,70,80,0.45,0.29,0.26,80,0.26,0.7,9,1,1,8,1,1,8,1,0,1,0,1
11,3,42,0,40,95,0.26,0.42,0.32,95,0.32,0.128,7,1,1,1,1,1,1,1,0,1,0,1
70,3,6,10,35,75,0.5,0.32,0.18,75,0.18,0.91,9,1,1,5,1,1,1,1,0,1,0,1
25,3,16,25,60,100,0.45,0.37,0.18,25,0.45,0.218,5,2,1,1,1,1,2,4,0,1,0,1
80,3,48,55,70,85,0.25,0.52,0.23,85,0.23,0.371,9,1,1,7,1,1,1,1,0,1,0,1
74,3,10,20,45,70,0.43,0.39,0.18,20,0.43,0.287,4,1,1,3,6,1,3,6,0,1,0,1
55,3,43,10,50,75,0.55,0.28,0.17,10,0.55,0.794,3,7,2,1,3,1,2,8,0,1,0,1
76,3,27,15,50,75,0.25,0.38,0.37,75,0.37,0.546,9,1,1,6,1,1,9,1,0,1,0,1
53,3,36,30,50,90,0.39,0.25,0.36,90,0.36,0.665,9,1,1,7,1,1,9,1,0,1,0,1
67,3,48,55,70,85,0.25,0.52,0.23,85,0.23,0.89,8,1,1,8,1,1,7,1,0,1,0,1
6,3,32,45,60,90,0.52,0.29,0.19,60,0.29,0.704,8,1,1,1,1,1,5,1,0,1,0,1
49,3,17,25,60,100,0.42,0.38,0.2,60,0.38,0.185,7,3,2,7,2,2,5,4,0,1,0,1
58,3,48,55,70,85,0.25,0.52,0.23,85,0.23,0.356,9,1,1,9,1,1,6,2,0,1,0,1
